cod_muni,municipio_nome,municipio_uf,municipio_hab,comercio_varejista_47,alimentacao_56,construcao_43,outras_at_serv_pessoais_96,comercio_rep_veiculos_45,at_org_associativas_94,transporte_terrestre_49,serv_escritorio_empresas_82,comercio_atacado_exct_veic_46,agricultura_pec_serv_1,educacao_85,serv_edificios_at_paisag_81,publi_pesq_mercado_73,confeccao_vestuario_ac_14,atividades_saude_86,construcao_edificios_41,rep_manut_informatica_95,fabricacao_alimenticios_10,total_cnpjs_ativos
7107,SAO PAULO,SP,10886518,331602,103795,67394,85392,51326,28017,55690,117875,51896,1650,58222,36725,45829,35166,36060,24683,29379,11407,1604057
6001,RIO DE JANEIRO,RJ,6093472,149759,67251,34631,55979,19309,17815,23489,33991,19591,589,28988,30671,21385,10451,17213,8172,15419,9263,755218
3849,SALVADOR,BA,2892625,77554,26095,13357,16496,7766,6004,9047,9971,5116,248,10193,7530,6206,3317,8170,3312,5461,3002,269094
9701,BRASILIA,DF,2455903,75144,27103,13925,21739,12083,9491,8674,11446,6107,567,10836,8725,8241,3216,8764,6048,5603,3964,304171
1389,FORTALEZA,CE,2431415,72779,20222,6185,15058,9388,4722,5190,7312,6424,260,7545,5540,4583,10669,4270,4674,4054,3417,236260
4123,BELO HORIZONTE,MG,2412937,65293,24722,16944,23413,13138,7260,10410,15408,10493,338,13549,23613,9021,4721,6521,6658,6486,3970,347606
7535,CURITIBA,PR,1797408,64897,17053,14304,16679,11386,5893,8009,15137,11284,306,10008,9993,7096,3653,6914,6760,5028,2521,291275
255,MANAUS,AM,1646602,34644,7999,5321,4622,3700,3631,3160,3737,3407,96,2987,1716,2724,870,2574,1330,1910,1190,105882
2531,RECIFE,PE,1533580,33186,11998,4787,7135,5037,3062,4178,5279,5940,237,5441,5246,2823,1282,3550,2381,2716,1941,138166
8801,PORTO ALEGRE,RS,1420667,42617,12898,10529,11566,7127,4415,5426,10273,9522,341,7528,15230,4434,1987,5019,4264,3973,2020,216194
427,BELEM,PA,1408847,29255,7738,3831,4666,3336,2099,1562,2760,2643,112,2852,1624,2431,1210,2135,1297,1995,1608,88661
9373,GOIANIA,GO,1244645,42574,10017,7443,9558,10090,3684,4472,7015,7521,639,5298,4067,5014,7130,3509,4028,3116,2100,174443
6477,GUARULHOS,SP,1236192,34702,11236,6749,7714,7208,3883,10954,5322,4621,182,3315,1671,2796,3178,1385,1204,2311,1090,133839
6291,CAMPINAS,SP,1039297,36289,11505,8147,9071,7015,3346,6374,8370,4689,1167,5993,4365,4179,1234,3460,2161,2696,1199,155436
5897,SAO GONCALO,RJ,960631,20061,7374,6179,6271,3421,2785,2010,2323,1912,52,2244,955,2050,2460,1021,558,1551,1223,77965
921,SAO LUIS,MA,957515,28705,5479,2619,4005,3517,3024,1666,2313,2684,96,2688,1519,1876,896,2564,2307,1371,804,82850
2785,MACEIO,AL,896965,28845,7242,2503,4067,3675,3000,1486,2381,3105,104,2870,1996,1915,932,1771,1394,1505,1424,85559
5833,DUQUE DE CAXIAS,RJ,842686,22575,7152,5203,5844,3365,2918,4083,1890,2109,61,1896,609,1568,2040,868,529,1508,1142,79612
5869,NOVA IGUACU,RJ,830672,16247,5639,4886,5147,2630,1837,1872,1430,786,71,1605,689,1685,1102,809,380,1063,863,58140
1219,TERESINA,PI,779939,24872,5148,2331,3987,3746,3188,1690,1780,3610,161,1999,1175,1251,1843,2632,1626,1398,1103,76013
9051,CAMPO GRANDE,MS,724524,30337,7314,7264,6658,6143,4061,3503,3402,3527,571,2216,1822,2365,975,1661,1665,2080,1273,106796
6789,OSASCO,SP,701012,18798,6846,3613,4135,3847,2054,5576,3878,1959,25,2143,1005,1640,814,995,717,1532,606,77261
2051,JOAO PESSOA,PB,674762,24361,5738,2668,4327,3526,3080,1243,2468,2111,90,2587,4220,1709,819,1751,4204,1336,1117,81293
7057,SANTO ANDRE,SP,667891,19427,5885,3840,4802,4378,1995,2702,5539,2947,32,2998,1849,2144,1113,1817,1284,1683,690,84930
2457,JABOATAO DOS GUARARAPES,PE,665387,15202,4097,2376,2507,2221,1336,2636,1073,1815,64,1536,1362,883,526,412,549,941,849,48469
5403,UBERLANDIA,MG,608369,17370,4564,4573,4722,3975,1407,3416,3089,2921,375,2517,2922,2463,1094,1595,2027,1310,1026,76243
7099,SAO JOSE DOS CAMPOS,SP,594948,18894,6385,4956,4254,3691,1865,2562,3944,2278,1357,3113,1956,1912,609,1723,1258,1301,623,79281
3515,FEIRA DE SANTANA,BA,571997,22340,4099,2062,3173,3851,2009,2208,1470,2953,100,1442,803,892,1331,1423,842,753,854,61880
7145,SOROCABA,SP,559157,19706,6330,5227,4571,3945,1586,2163,4017,2815,990,2624,2172,1992,902,1813,1807,1304,644,80969
6969,RIBEIRAO PRETO,SP,547417,27778,8269,5779,5848,5361,2048,3458,5293,4908,1465,3372,3067,2561,989,2706,2261,1510,722,108780
9067,CUIABA,MT,526831,20469,6631,3658,4558,3696,2057,2509,2877,3188,313,2111,1518,2061,743,1786,1731,1370,1036,78206
3105,ARACAJU,SE,520303,15945,4295,2153,3689,2466,2594,1223,1813,2558,47,1980,1304,1638,636,1896,1331,1122,765,59365
4733,JUIZ DE FORA,MG,513348,17381,6867,3612,4677,2762,2381,1681,2094,2152,69,1927,3183,1151,1915,1442,1098,1101,1069,69343
7667,LONDRINA,PR,497833,16242,4051,4594,3196,3144,1842,1754,2870,3210,289,2038,2079,1679,1103,1700,1189,958,719,67263
8179,JOINVILLE,SC,487003,15809,4263,5169,3487,3339,1610,1373,2852,3004,55,1996,2051,2372,1573,1193,2001,1090,693,70681
415,ANANINDEUA,PA,484278,12170,2374,1626,1567,1771,1034,1506,796,2281,52,974,423,744,528,367,623,702,701,35543
2909,BELFORD ROXO,RJ,480555,7933,2722,2823,2668,1235,831,1145,583,352,19,700,163,754,730,144,154,548,465,28610
9227,APARECIDA DE GOIANIA,GO,475303,10466,2439,2716,2034,2061,684,1131,958,1143,48,784,663,915,1255,334,584,686,493,36119
